Dayahead Market MCPs.

01/01/2023,,All Hours-Ending are Eastern Standard Time (EST)

,,MCP Type, HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
NSP.BLUEL1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.BLUEL2,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.BLUEL3,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.BLUEL4,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.BLUE_LK7,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.BLUE_LK8,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.BR_DIR_TR1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.BSTAR1.WND,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.BSTAR2.WND,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.BUFFR_TR1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.BUFFR_TR2,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.CANFLSG1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.CANFLSG2,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.CC.BLKD52,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.CC.HIBRDG1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.CC.HIBRDG2,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.CC.MANKAT1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.CC.MANKAT2,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.CC.RIVRSD1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.CC.RIVRSD2,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.CHARA_TR1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.CHARA_TR2,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.CHARA_TR4,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.CHEMOLSPO,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.CH_DIR_TR4,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.COYOTE,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.CWN1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.CWN2,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.DANIELSN1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.DR.BTFN,Zone 5,DEMSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.DR.COMPUTE,Zone 5,DEMSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.EASTRDG1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.ELLIOTPK1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.FENTON.WND,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.GARWIN1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.GDMEADOW,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.GRE.BFRDG,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.HENNIPIN1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.HIBRDG.7,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.HIBRDG.8,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.HIBRDG9_1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.HIBRDG9_2,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.INVRHL1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.INVRHL2,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.INVRHL3,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.INVRHL4,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.INVRHL5,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.INVRHL6,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.KING1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.MANKATOCT1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.MANKATOCT2,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.MANKATST31,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.MANKATST32,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.MARSHSOLAR,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.MERPK1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.MINRVR1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.MMPA.BOGWF,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.MMPA.FEP,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.MNDAK.WND,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.MNTCEL1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.MOR1_IBR,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.MORAINE2,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.MRES.MWF,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.NEW_PNEW_,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.NIPS.YANKE,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.NORTHN.WND,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.NSTARSOLAR,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.NULM.4GT,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.NULM.5GT,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.NULM.6GT,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.NULM.7GT,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.OAKLKE_IBR,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.ODELL.WND,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.OWATONA_7,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.OWATON_SIG,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.PRISL1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.PRISL2,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.PVALEY.WND,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.RAETNA.WND,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.REDPINE,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.REDWIN1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.REDWIN2,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.RIVRSD10,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.RIVRSD71,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.RIVRSD72,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.RIVRSD9,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.ROCKRIDG1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.RWF__1_QS,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.RWF__2,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.SARTELL,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.SHAKOBIO1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.SHERCO1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.SHERCO2,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.SHERCO3.CO,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.SPGSPG1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.STCLOUD1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.STCRO,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.STONERAY,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.ST_PETER,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.S_RIDGE1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.UILK1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.UOFMGEN1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.VALYVIEW1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.VELVAVELV,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.WESTSID1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.WILMAR1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.WILMAR2,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.WINDVEST1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.WOODST1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.WPIPST1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
NSP.W_TRIW_TR,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
OTP.ASHTAIII,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
OTP.ASHTUBULA,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
OTP.ASTORIA,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
OTP.BIGSTON1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
OTP.BRDRS1.WND,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
OTP.CENTER1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
OTP.COURTNY.WF,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
OTP.COYOT1,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
OTP.CRIDG1.WND,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
OTP.CRIDG2.WND,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
OTP.DHWE,Zone 5,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
